lookup_name,submitted_scientific_names,submitted_common_names,2015,2005
A noctuid moth,A Noctuid Moth,Zale sp. 1 nr. lunifera,New Hampshire,
Abacion tessalatum,Abacion tessalatum,A millipede,Virginia,Virginia
Abacion wilhelminae,Abacion wilhelminae,"millipede,Millipede",Arkansas,Arkansas
Abagrotis barnesi,Abagrotis barnesi,A noctuid moth,,New York
Abagrotis brunneipennis,Abagrotis brunneipennis,Yankee Dart,Pennsylvania,
Abagrotis crumbi benjamini,Abagrotis crumbi benjamini,Benjamin's abagrotis,,Rhode Island
Abagrotis nefascia,Abagrotis nefascia,Coastal Heathland Cutworm,Massachusetts,Massachusetts
Abagrotis nefascia benjamini,Abagrotis nefascia benjamini,"Coastal heathland cutworm,Coastal Heathland Cutworm,Benjamin's Abagrotis","Connecticut,Rhode Island","New York,Connecticut"
Abagrotis orbis,Abagrotis orbis,no common name,,Illinois
Abies balsamea,Abies balsamea,Balsam Fir,West Virginia,
Abies fraseri,Abies fraseri,Fraser Fir,Tennessee,
Ablautus schlingeri,Ablautus schlingeri,"Oso Flaco robber fly,Oso Flaco Robber Fly",California,California
Abra aequalis,Abra aequalis,Atlantic abra,,South Carolina
Abronia alpina,Abronia alpina,Ramshaw Meadows abronia,California,
Abronia ameliae,Abronia ameliae,Amelia's Sand-verbena ,Texas,
Abronia macrocarpa,Abronia macrocarpa,Large-fruited sand-verbena,Texas,
Abronia umbellata ssp. breviflora,Abronia umbellata ssp. breviflora,pink sand-verbena,,Oregon
Abronia umbellata var. breviflora,Abronia umbellata var. breviflora,"Pink Sandverbena,pink sand-verbena","California,Oregon",
Abronia villosa var. aurita,Abronia villosa var. aurita,chaparral sand-verbena,California,
Abudefduf saxatilis,Abudefduf saxatilis,Sergeant Major,,Florida
Abudefduf taurus,Abudefduf taurus,Night Sergeant,,Florida
Abutilon eremitopetalum,Abutilon eremitopetalum,"No Common Name,no common name",Hawaii,Hawaii
Abutilon menziesii,Abutilon menziesii,"No Common Name,no common name",Hawaii,Hawaii
Abutilon sandwicense,Abutilon sandwicense,"No Common Name,no common name",Hawaii,Hawaii
Acabaria bicolor,Acabaria bicolor,"bicolor gorgonian,Bicolor Gorgonian",Hawaii,Hawaii
Acacia koa,Acacia koa,"koa,Koa",Hawaii,Hawaii
Acacia koaia,Acacia koaia,"koaia, koa oha,Koaiʻa, Koa ʻOhā",Hawaii,Hawaii
Acaena exigua,Acaena exigua,"No Common Name,no common name",Hawaii,Hawaii
Acalypha deamii,Acalypha deamii,"Deam's Copperleaf,Large Seeded Mercury",Tennessee,Missouri
Acalypha gracilens,Acalypha gracilens,"slender copperleaf,Slender Copperleaf",Vermont,Vermont
Acalypha ostryifolia,Acalypha ostryifolia,Rough-pod Copperleaf,Nebraska,
Acalypta lillianus,Acalypta lillianus,"lace bug,Lace Bug",Arkansas,Arkansas
Acalypta susanae,Acalypta susanae,"lace bug,Lace Bug",Arkansas,Arkansas
Acanthametropus pecatonica,Acanthametropus pecatonica,"Pecatonica River Mayfly,Pecatonica River Mayfly  ,Pecatonica River mayfly,""A Mayfly""","Illinois,Wisconsin,South Carolina","Wisconsin,Illinois"
Acantharchus pomotis,Acantharchus pomotis,"Mud sunfish,Mud Sunfish,mud sunfish","Maryland,Alabama,Delaware,New Jersey,Virginia,Florida","Delaware,South Carolina,Maryland,New York,Florida"
Acantharcus pomotis,Acantharcus pomotis,Mud sunfish,,Virginia
Acanthemblemaria aspera,Acanthemblemaria aspera,Roughhead Blenny,,Florida
Acanthemblemaria chaplini,Acanthemblemaria chaplini,Papillose Blenny,,Florida
Acanthis flammea,Acanthis flammea, Common Redpoll,Alaska,
Acanthis hornemanni,Acanthis hornemanni, Hoary Redpoll,Alaska,
Acanthochiton viridis,Acanthochiton viridis,"Green Chiton, Kuakulu,green chiton, kuakulu",Hawaii,Hawaii
Acanthocybium solandri,Acanthocybium solandri,Wahoo,,Florida
Acanthocyclops columbiensis,"Acanthocyclops Columbiensis,Acanthocyclops columbiensis","A Copepod,Copepod sp.,A copepod","Maryland,District of Columbia",District of Columbia
Acanthocyclops parasensitivus,Acanthocyclops parasensitivus,(a copepod),Tennessee,
Acanthocyclops villosipes,Acanthocyclops Villosipes,A Copepod,,District of Columbia
Acanthohaustorius intermedius,Acanthohaustorius intermedius,"No common name,""An amphipod""",South Carolina,South Carolina
Acanthohaustorius millsi,Acanthohaustorius millsi,"No common name,""An amphipod""",South Carolina,South Carolina
Acanthohaustorius shoemakeri,Acanthohaustorius shoemakeri,"""An amphipod""",South Carolina,
Acanthomintha duttonii,Acanthomintha duttonii,San Mateo thorn-mint,California,
Acanthomintha ilicifolia,Acanthomintha ilicifolia,San Diego thorn-mint,California,
Acanthoscyphus parishii var. goodmaniana,Acanthoscyphus parishii var. goodmaniana,Cushenbury oxytheca,California,
Acanthostracion quadricornis,Acanthostracion quadricornis,Scrawled Cowfish,,Florida
Acanthuridae,Acanthuridae,Surgeonfish,Guam,Guam
Acanthurus bahianus,Acanthurus bahianus,Ocean Surgeon,Puerto Rico,Florida
Acanthurus chirurgus,Acanthurus chirurgus,Doctorfish,Puerto Rico,Florida
Acanthurus coeruleus,Acanthurus coeruleus,Blue Tang,,Florida
Acari,Acari,"mites and ticks,Mites and Ticks",Hawaii,Hawaii
Acartia tonsa,Acartia tonsa,No common name,,South Carolina
Acaulon muticum var. muticum,Acaulon muticum var. muticum,A Moss,,Missouri
Acaulon muticum var. rufescens,Acaulon muticum var. rufescens,A Moss,,Missouri
Accipiter cooperii,"Accipiter cooperii,Accipiter Cooperii","Cooper's Hawk,Cooper's hawk",New Jersey,"North Carolina,Ohio,California,Delaware,Nebraska,West Virginia,Michigan,Vermont,New Hampshire,New York,New Jersey,Connecticut"
Accipiter gentilis,Accipiter gentilis,"Northern Goshawk  ,Northern Goshawk,Northern goshawk,northern goshawk","West Virginia,Nevada,New York,Maryland,Massachusetts,California,Colorado,New Hampshire,Connecticut,Minnesota,Pennsylvania,Michgan,Delaware,Wyoming,South Dakota,Wisconsin,Vermont,Rhode Island,New Jersey","Wyoming,California,Pennsylvania,Oregon,Maryland,Wisconsin,Colorado,Rhode Island,West Virginia,Michigan,Utah,Vermont,New Hampshire,South Dakota,New York,Montana,Nevada,Minnesota,New Jersey,New Mexico,Washington,Connecticut"
Accipiter gentilis apache,Accipiter gentilis apache,Apache Northern Goshawk,,Arizona
Accipiter gentilis atricapillus,Accipiter gentilis atricapillus,"Northern Goshawk ,Northern Goshawk","Oregon,Arizona",Arizona
Accipiter gentilis laingi,Accipiter gentilis laingi, Queen Charlotte Goshawk ,Alaska,
Accipiter gentilus,Accipiter gentilus,Northern Goshawk,,Alaska
Accipiter gentilus atricapillus,Accipiter gentilus atricapillus,Northern Goshawk,,Alaska
Accipiter gentilus laingi,Accipiter gentilus laingi,Queen Charlotte Northern Goshawk,,Alaska
Accipiter striatus,Accipiter striatus,"Sharp-shinned hawk,Sharp-Shinned Hawk,Sharp-shinned Hawk,sharp-shinned hawk","Tennessee,Arkansas,Maryland,Ohio,Missouri,Connecticut,Pennsylvania,Delaware,Kentucky,Nebraska,New Jersey,Indiana","Massachusetts,North Carolina,Ohio,California,Missouri,Delaware,Nebraska,Maryland,Rhode Island,Alaska,West Virginia,Indiana,New York,Tennessee,New Jersey,Kentucky,Connecticut"
Accipiter striatus venator,Accipiter striatus venator,"Sharp Shinned Hawk,Sharp-shinned Hawk",Puerto Rico,Puerto Rico
Acella haldemani,Acella haldemani,"Spindle Lymnaea,spindle lymnaea,Spindle lymnaea","Michgan,Vermont","Michigan,Illinois,Vermont,New York,Minnesota"
Acentrella feropagus,Acentrella feropagus,A mayfly,,Alaska
Acentrella parvula,Acentrella parvula,"Small Minnow Mayfly,A Mayfly","Colorado,Florida",
Acer glabrum,Acer glabrum,Rocky Mountain Maple,Nebraska,Nebraska
Acer leucoderme,Acer leucoderme,Chalk Maple,Tennessee,
Acer saccharum,Acer saccharum,Sugar Maple,Connecticut,
Acer spicatum,Acer spicatum,Mountain Maple,,Georgia
Aceria chrondriphora,Aceria chrondriphora,Ashleaf gall mite,Maryland,
Aceria fraxiniflora,Aceria fraxiniflora,Ash flowergall mite,Maryland,
Aceria fraxinivorus,Aceria fraxinivorus,Ash key gall mite,Maryland,
Acerpenna pygmaea,Acerpenna pygmaea ,Tiny Blue-Winged Olive,Colorado,
